,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Huari,4.600000000000023,29,100,2.18,-9.33,-77.23
1,Punta Arenas,-0.8500000000000227,100,20,1.5,-53.15,-70.92
2,Hilo,25.060000000000002,58,1,4.1,19.73,-155.09
3,Muskegon,9.610000000000014,93,90,2.1,43.3,-86.13
4,Alofi,27.149999999999977,88,75,3.6,-19.06,-169.92
5,Puerto Ayora,26.970000000000027,74,40,6.2,-0.74,-90.35
6,Praia da Vitória,15.149999999999977,82,75,7.89,38.73,-27.07
7,Bredasdorp,15.149999999999977,72,2,3.1,-34.53,20.04
8,Hofn,2.6899999999999977,80,0,0.77,64.25,-15.21
9,Busselton,11.819999999999993,96,99,5.74,-33.65,115.33
10,Leshukonskoye,-3.329999999999984,97,0,1.48,64.9,45.76
11,Kieta,31.029999999999973,60,0,2.21,-6.22,155.63
12,Guerrero Negro,21.029999999999973,71,4,7.53,27.98,-114.06
13,Castro,14.29000000000002,71,2,3.19,-24.79,-50.01
14,Atuona,28.44999999999999,75,2,7.81,-9.8,-139.03
15,Kapaa,26.0,69,40,7.7,22.08,-159.32
16,Khatanga,-7.800000000000011,96,100,4.88,71.97,102.5
17,Lodwar,28.029999999999973,53,80,5.29,3.12,35.6
18,Dikson,-6.529999999999973,96,100,4.85,73.51,80.55
19,New Norfolk,15.069999999999993,54,83,3.13,-42.78,147.06
20,Batagay-Alyta,-6.160000000000025,88,100,1.58,67.8,130.41
21,Mwinilunga,14.680000000000007,61,100,1.46,-11.74,24.43
22,Mar del Plata,16.029999999999973,100,90,10.3,-38.0,-57.56
23,Saint Anthony,21.74000000000001,21,1,4.1,45.02,-93.22
24,Zubtsov,-0.6200000000000045,93,0,2.75,56.18,34.59
25,Mataura,15.149999999999977,60,12,3.58,-46.19,168.86
26,Cape Town,15.310000000000002,82,0,1.5,-33.93,18.42
27,Salalah,29.149999999999977,79,20,2.6,17.02,54.09
28,Xining,12.410000000000025,15,0,0.65,36.62,101.77
29,Mabaruma,23.670000000000016,90,48,1.73,8.2,-59.78
30,Trincomalee,28.439999999999998,78,100,2.85,8.57,81.23
31,Albany,4.720000000000027,76,100,0.45,42.6,-73.97
32,Vaini,26.149999999999977,78,75,6.2,-21.2,-175.2
